股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
002702.SZ,海欣食品,3.49,-6.434,36038.5,1264,33,002702
601858.SH,中国科传,20.42,-2.993,36015.5,1265,17,601858
002276.SZ,万马股份,7.96,-0.872,35997.5,1266,33,002276
300105.SZ,龙源技术,6.65,-2.493,35914.5,1267,33,300105
601113.SH,华鼎股份,3.53,0.570,35780.5,1268,17,601113
600266.SH,城建发展,4.47,-2.614,35774.0,1269,17,600266
300109.SZ,新开源,20.60,-1.152,35765.5,1270,33,300109
601500.SH,通用股份,5.57,-1.937,35589.0,1271,17,601500
600490.SH,鹏欣资源,2.72,-2.509,35572.0,1272,17,600490
603052.SH,可川科技,28.93,-2.756,35534.5,1273,17,603052
301293.SZ,三博脑科,51.62,-3.694,35450.0,1274,33,301293
002446.SZ,盛路通信,5.66,-5.034,35442.5,1275,33,002446
300709.SZ,精研科技,24.96,-3.030,35344.0,1276,33,300709
603185.SH,弘元绿能,19.52,-2.886,35208.0,1277,17,603185
601898.SH,中煤能源,12.96,2.370,35179.0,1278,17,601898
603863.SH,松炀资源,21.77,-10.004,35085.0,1279,17,603863
600225.SH,卓朗科技,1.85,-9.756,35083.0,1280,17,600225
300490.SZ,华自科技,7.18,-6.753,35072.0,1281,33,300490
300152.SZ,新动力,1.44,-10.000,35040.0,1282,33,300152
300261.SZ,雅本化学,5.58,-4.615,35002.5,1283,33,300261
688668.SH,鼎通科技,39.40,-2.740,34941.5,1284,17,688668
003021.SZ,兆威机电,51.52,-1.997,34923.0,1285,33,003021
600880.SH,博瑞传播,3.95,-7.494,34907.0,1286,17,600880
300047.SZ,天源迪科,6.27,-5.000,34904.0,1287,33,300047
603232.SH,格尔软件,10.20,-6.077,34874.5,1288,17,603232
300035.SZ,中科电气,9.25,-5.128,34852.5,1289,33,300035
000301.SZ,东方盛虹,8.55,-1.611,34851.5,1290,33,000301
600206.SH,有研新材,9.03,-1.419,34788.5,1291,17,600206
000710.SZ,贝瑞基因,7.17,-7.124,34708.5,1292,33,000710
002892.SZ,科力尔,8.73,-4.590,34689.0,1293,33,002892
000680.SZ,山推股份,8.02,-0.743,34641.5,1294,33,000680
000554.SZ,泰山石油,5.23,0.965,34624.0,1295,33,000554
002939.SZ,长城证券,7.01,-1.821,34572.5,1296,33,002939
600202.SH,哈空调,3.45,-9.922,34556.0,1297,17,600202
600804.SH,*ST鹏博,1.05,-5.405,34533.0,1298,22,600804
300454.SZ,深信服,52.88,-3.539,34529.5,1299,33,300454
002675.SZ,东诚药业,13.88,-3.611,34526.0,1300,33,002675
600105.SH,永鼎股份,3.65,-5.195,34523.5,1301,17,600105
600704.SH,物产中大,4.68,-0.637,34471.0,1302,17,600704
001227.SZ,兰州银行,2.44,-1.215,34462.5,1303,33,001227
002331.SZ,皖通科技,6.05,-8.472,34461.0,1304,33,002331
600816.SH,建元信托,3.04,-0.654,34445.5,1305,17,600816
300520.SZ,科大国创,16.26,-6.066,34435.5,1306,33,300520
301137.SZ,哈焊华通,13.69,-4.798,34424.5,1307,33,301137
