股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
600512.SH,腾达建设,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润10600万元左右;增长幅度为72.65%左右;上年同期业绩:净利润6138.63万元,基本每股收益0.04元;"
603220.SH,中贝通信,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润9950万元至11600万元;增长幅度为51%至76%;上年同期业绩:净利润6608.02万元,基本每股收益0.20元;"
600505.SH,西昌电力,减亏,"预计2024-01-01到2024-06-30业绩：净利润-2600万元左右;上年同期业绩:净利润-6906万元,基本每股收益-0.1894元;"
605286.SH,同力日升,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润11147.10万元至12632.75万元;增长幅度为50%至70%;上年同期业绩:净利润7431.03万元,基本每股收益0.42元;"
600071.SH,凤凰光学,减亏,"预计2024-01-01到2024-06-30业绩：净利润-1400万元至-1000万元;上年同期业绩:净利润-1988.45万元,基本每股收益-0.07元;"
600743.SH,华远地产,减亏,"预计2024-01-01到2024-06-30业绩：净利润-43000万元至-35000万元;上年同期业绩:净利润-51208.94万元,基本每股收益-0.279元;"
603106.SH,恒银科技,减亏,"预计2024-01-01到2024-06-30业绩：净利润-4100.00万元至-3300.00万元;上年同期业绩:净利润-4349.01万元,基本每股收益-0.0836元;"
603232.SH,格尔软件,续亏,"预计2024-01-01到2024-06-30业绩：净利润-5700万元至-3800万元;上年同期业绩:净利润-5087.51万元,基本每股收益-0.22元;"
600581.SH,八一钢铁,减亏,"预计2024-01-01到2024-06-30业绩：净利润-72000.00万元左右;上年同期业绩:净利润-77100.00万元,基本每股收益-0.496元;"
605081.SH,太和水,续亏,"预计2024-01-01到2024-06-30业绩：净利润-2100万元至-1400万元;上年同期业绩:净利润-1684.43万元,基本每股收益-0.15元;"
603226.SH,菲林格尔,增亏,"预计2024-01-01到2024-06-30业绩：净利润-1550.00万元至-1300.00万元;上年同期业绩:净利润-1133.66万元,基本每股收益-0.03元;"
600733.SH,北汽蓝谷,增亏,"预计2024-01-01到2024-06-30业绩：净利润-270000.00万元至-240000.00万元;上年同期业绩:净利润-197982.38万元,基本每股收益-0.4398元;"
603879.SH,ST永悦,增亏,"预计2024-01-01到2024-06-30业绩：净利润-2550万元至-2350万元;上年同期业绩:净利润-1752.47万元,基本每股收益-0.0484元;"
603660.SH,苏州科达,增亏,"预计2024-01-01到2024-06-30业绩：净利润-30000万元至-25000.0万元;上年同期业绩:净利润-18300.00万元,基本每股收益-0.3706元;"
603609.SH,禾丰股份,增亏,"预计2024-01-01到2024-06-30业绩：净利润-4800.00万元至-3300.00万元;上年同期业绩:净利润-2536.34万元,基本每股收益-0.03元;"
600330.SH,天通股份,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润5607万元至9344万元;下降幅度为70%至50%;上年同期业绩:净利润18689万元,基本每股收益0.152元;"
600241.SH,时代万恒,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润850万元至1050万元;下降幅度为67%至59%;上年同期业绩:净利润2557万元,基本每股收益0.09元;"
600120.SH,浙江东方,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润11900.00万元左右;下降幅度为63.99%左右;上年同期业绩:净利润33000.00万元,基本每股收益0.10元;"
601099.SH,太平洋,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润5500万元至7500万元;下降幅度为74%至64%;上年同期业绩:净利润20983.32万元,基本每股收益0.031元;"
600082.SH,海泰发展,增亏,"预计2024-01-01到2024-06-30业绩：净利润-3200万元至-2800万元;上年同期业绩:净利润-1768.69万元,基本每股收益-0.0274元;"
600195.SH,中牧股份,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润6080万元至8805万元;下降幅度为77.40%至67.26%;上年同期业绩:净利润26897万元,基本每股收益0.2634元;"
603903.SH,中持股份,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润530.24万元至2120.96万元;下降幅度为90%至60%;上年同期业绩:净利润5302.40万元,基本每股收益0.21元;"
600639.SH,浦东金桥,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润31298万元至40376万元;下降幅度为79.30%至73.30%;上年同期业绩:净利润151206.87万元,基本每股收益1.3472元;"
603191.SH,望变电气,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润3200万元至3800万元;下降幅度为79.23%至75.34%;上年同期业绩:净利润15408.03万元,基本每股收益0.46元;"
600822.SH,上海物贸,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润2500万元左右;下降幅度为84.08%左右;上年同期业绩:净利润15707.38万元,基本每股收益0.31元;"
600395.SH,盘江股份,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润3400万元至4050万元;下降幅度为94.51%至93.46%;上年同期业绩:净利润61927.73万元,基本每股收益0.288元;"
600088.SH,中视传媒,预亏,"预计2024-01-01到2024-06-30业绩：净利润-1900万元至-1700万元;上年同期业绩:净利润30457.55万元,基本每股收益0.766元;"
600616.SH,金枫酒业,预亏,"预计2024-01-01到2024-06-30业绩：净利润-1840万元至-1510万元;上年同期业绩:净利润11751.66万元,基本每股收益0.18元;"
600798.SH,宁波海运,预亏,"预计2024-01-01到2024-06-30业绩：净利润-2150万元至-1450万元;上年同期业绩:净利润6107.35万元,基本每股收益0.0506元;"
600676.SH,交运股份,增亏,"预计2024-01-01到2024-06-30业绩：净利润-13063万元左右;上年同期业绩:净利润-5531万元,基本每股收益-0.05元;"
600797.SH,浙大网新,增亏,"预计2024-01-01到2024-06-30业绩：净利润-3200万元左右;上年同期业绩:净利润-1348万元,基本每股收益-0.01元;"
600192.SH,长城电工,增亏,"预计2024-01-01到2024-06-30业绩：净利润-7950万元左右;上年同期业绩:净利润-3347.14万元,基本每股收益-0.0758元;"
600435.SH,北方导航,预亏,"预计2024-01-01到2024-06-30业绩：净利润-7800万元至-6800万元;上年同期业绩:净利润14699万元,基本每股收益0.10元;"
603968.SH,醋化股份,预亏,"预计2024-01-01到2024-06-30业绩：净利润-5250.00万元至-4200.00万元;上年同期业绩:净利润8942.49万元,基本每股收益0.4272元;"
600151.SH,航天机电,预亏,"预计2024-01-01到2024-06-30业绩：净利润-3500万元至-2350万元;上年同期业绩:净利润3782.40万元,基本每股收益0.0264元;"
603466.SH,风语筑,预亏,"预计2024-01-01到2024-06-30业绩：净利润-14500.0000万元至-9700.0000万元;上年同期业绩:净利润11424.437520万元,基本每股收益0.19元;"
601002.SH,晋亿实业,预亏,"预计2024-01-01到2024-06-30业绩：净利润-2800万元至-2000万元;上年同期业绩:净利润1516.81万元,基本每股收益0.016元;"
600571.SH,信雅达,预亏,"预计2024-01-01到2024-06-30业绩：净利润-7000万元至-5000万元;上年同期业绩:净利润3215.78万元,基本每股收益0.071元;"
600159.SH,大龙地产,预亏,"预计2024-01-01到2024-06-30业绩：净利润-1200万元至-800万元;上年同期业绩:净利润524.57万元,基本每股收益0.01元;"
600259.SH,广晟有色,预亏,"预计2024-01-01到2024-06-30业绩：净利润-31100万元至-27100万元;上年同期业绩:净利润10209.31万元,基本每股收益0.30元;"
600636.SH,国新文化,预亏,"预计2024-01-01到2024-06-30业绩：净利润-3500万元左右;上年同期业绩:净利润1150万元,基本每股收益0.0261元;"
600288.SH,大恒科技,预亏,"预计2024-01-01到2024-06-30业绩：净利润-1116万元左右;上年同期业绩:净利润317.30万元,基本每股收益0.0073元;"
600604.SH,市北高新,增亏,"预计2024-01-01到2024-06-30业绩：净利润-18000.00万元至-13000.00万元;上年同期业绩:净利润-2710.75万元,基本每股收益-0.01元;"
600135.SH,乐凯胶片,预亏,"预计2024-01-01到2024-06-30业绩：净利润-3739万元至-3139万元;上年同期业绩:净利润622.81万元,基本每股收益0.0113元;"
603819.SH,神力股份,增亏,"预计2024-01-01到2024-06-30业绩：净利润-7200.00万元至-5800.00万元;上年同期业绩:净利润-377.62万元,基本每股收益-0.0174元;"
